undefined,14388,14374,14375
02/21/2012,185000,33100,0
04/20/2012,12000000,17700,0
02/11/2013,757000,4920,0
02/13/2013,840000,17200,0
05/17/2013,883000,17500,0
05/24/2013,582000,22500,0
05/29/2013,1200000,6830,0
06/03/2013,1070000,5800,0
06/05/2013,514000,5260,0
06/07/2013,1040000,7660,0
06/10/2013,688000,6360,0
06/14/2013,1960000,10800,0
06/19/2013,1400000,16500,0
06/21/2013,1850000,15900,0
06/24/2013,1700000,21700,0
06/26/2013,896000,18500,0
06/28/2013,1730000,18700,0
07/02/2013,1750000,37100,0
07/05/2013,1310000,8500,0
07/08/2013,0,0,0
07/12/2013,77800000,34000,0
07/22/2013,3180000,10000,0
07/30/2013,3640000,4000,0
08/30/2013,3870000,20700,0
10/11/2013,1060000,63000,0
11/08/2013,812000,18900,0
12/12/2013,414000,13300,0
01/03/2014,192000,3040,0
01/08/2014,300000,6230,0
01/17/2014,794000,6570,0
01/31/2014,845000,12500,0
02/14/2014,991000,2760,0
03/14/2014,639000,10700,2120
04/11/2014,4390000,15500,0
